timestamp,device,action,value
2025-06-26 06:52:11,침실2 조명,power,OFF
2025-06-26 06:57:11,침실3 조명,power,OFF
2025-06-26 07:09:11,침실1 조명,power,OFF
2025-06-26 07:47:11,침실3 조명,power,OFF
2025-06-26 07:50:11,현관 조명,power,OFF
2025-06-26 07:53:11,거실 조명,power,OFF
2025-06-26 07:54:11,주방 조명,power,OFF
2025-06-26 07:57:11,침실2 조명,power,OFF
2025-06-26 17:18:11,에어컨,power,ON
2025-06-26 17:55:11,현관 조명,power,ON
2025-06-26 18:01:11,CCTV,power,OFF
2025-06-26 18:05:11,침실1 조명,power,ON
2025-06-26 18:06:11,침실2 조명,power,ON
2025-06-26 18:09:11,침실3 조명,power,ON
2025-06-26 18:12:11,거실 조명,power,ON
2025-06-26 18:42:11,주방 조명,power,ON
2025-06-26 18:43:11,가스밸브,power,ON
2025-06-26 20:48:11,주방 조명,power,OFF
2025-06-26 21:14:11,거실 조명,power,OFF
2025-06-26 21:50:11,현관 조명,power,OFF
2025-06-26 21:52:11,침실3 조명,power,OFF
2025-06-26 21:57:11,침실1 조명,power,OFF
2025-06-26 22:06:11,침실2 조명,power,OFF
2025-06-27 06:47:11,침실1 조명,power,OFF
2025-06-27 06:53:11,침실3 조명,power,OFF
2025-06-27 06:55:11,침실2 조명,power,OFF
2025-06-27 07:52:11,현관 조명,power,OFF
2025-06-27 08:01:11,에어컨,power,OFF
2025-06-27 08:02:11,침실3 조명,power,OFF
2025-06-27 08:03:11,주방 조명,power,OFF
2025-06-27 08:06:11,거실 조명,power,OFF
2025-06-27 08:06:11,침실1 조명,power,OFF
2025-06-27 08:10:11,CCTV,power,ON
2025-06-27 08:14:11,침실2 조명,power,OFF
2025-06-27 17:50:11,침실3 조명,power,ON
2025-06-27 17:57:11,거실 조명,power,ON
2025-06-27 18:00:11,CCTV,power,OFF
2025-06-27 18:01:11,침실1 조명,power,ON
2025-06-27 18:04:11,침실2 조명,power,ON
2025-06-27 18:12:11,현관 조명,power,ON
2025-06-27 18:23:11,가스밸브,power,ON
2025-06-27 18:42:11,주방 조명,power,ON
2025-06-27 20:53:11,주방 조명,power,OFF
2025-06-27 21:02:11,거실 조명,power,OFF
2025-06-27 21:54:11,침실3 조명,power,OFF
2025-06-27 21:58:11,현관 조명,power,OFF
2025-06-27 22:00:11,침실2 조명,power,OFF
2025-06-27 22:12:11,침실1 조명,power,OFF
2025-06-28 06:46:11,침실2 조명,power,OFF
2025-06-28 07:12:11,침실1 조명,power,OFF
2025-06-28 07:13:11,침실3 조명,power,OFF
2025-06-28 07:46:11,거실 조명,power,OFF
2025-06-28 08:00:11,침실2 조명,power,OFF
2025-06-28 08:01:11,침실1 조명,power,OFF
2025-06-28 08:03:11,주방 조명,power,OFF
2025-06-28 08:04:11,침실3 조명,power,OFF
2025-06-28 08:04:11,현관 조명,power,OFF
2025-06-28 08:10:11,CCTV,power,ON
2025-06-28 08:12:11,에어컨,power,OFF
2025-06-28 17:32:11,에어컨,power,ON
2025-06-28 17:51:11,CCTV,power,OFF
2025-06-28 17:52:11,거실 조명,power,ON
2025-06-28 17:52:11,침실2 조명,power,ON
2025-06-28 17:52:11,현관 조명,power,ON
2025-06-28 18:00:11,침실1 조명,power,ON
2025-06-28 18:07:11,침실3 조명,power,ON
2025-06-28 18:20:11,주방 조명,power,ON
2025-06-28 18:26:11,가스밸브,power,ON
2025-06-28 20:50:11,거실 조명,power,OFF
2025-06-28 20:54:11,주방 조명,power,OFF
2025-06-28 22:05:11,현관 조명,power,OFF
2025-06-28 22:08:11,침실2 조명,power,OFF
2025-06-28 22:13:11,침실3 조명,power,OFF
2025-06-29 06:50:11,침실1 조명,power,OFF
2025-06-29 06:51:11,침실2 조명,power,OFF
2025-06-29 07:14:11,침실3 조명,power,OFF
2025-06-29 07:49:11,주방 조명,power,OFF
2025-06-29 07:57:11,침실1 조명,power,OFF
2025-06-29 07:58:11,침실2 조명,power,OFF
2025-06-29 08:00:11,에어컨,power,OFF
